epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,434.447,1.0382,0.92463,1.13319,0.78261,0.73714,0.80485,0.53062,1.10187,1.03171,1.18817,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,439.538,0.94281,0.87295,1.09665,0.71598,0.79429,0.80541,0.53517,1.09665,1.02777,1.18396,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,444.653,0.94869,0.87524,1.09382,0.79815,0.72307,0.80663,0.53703,1.09077,1.02441,1.1806,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,449.74,0.94771,0.8662,1.09762,0.79762,0.72,0.80615,0.53658,1.09002,1.02434,1.17947,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,454.787,0.95513,0.87887,1.09139,0.79762,0.72,0.80615,0.53658,1.09002,1.02434,1.17947,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,460.112,0.95019,0.86271,1.08166,0.81798,0.71901,0.80558,0.53471,1.09465,1.02122,1.18055,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,465.072,0.94635,1.03685,1.12816,0.80397,0.72652,0.80518,0.53217,1.09518,1.02071,1.18056,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,469.824,0.95714,1.01569,1.10852,0.80857,0.72,0.8057,0.52918,1.09308,1.02454,1.17982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,474.631,0.95475,0.99858,1.14591,0.80857,0.72,0.8057,0.52918,1.09308,1.02454,1.17982,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,479.376,0.90016,1.01863,1.11817,0.73424,0.78936,0.80517,0.52827,1.10082,1.02608,1.18473,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,484.111,0.91674,1.0018,1.11608,0.72802,0.79537,0.80551,0.52556,1.09415,1.03055,1.18097,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,488.94,0.9081,0.97896,1.10471,0.7272,0.8,0.79466,0.51947,1.09782,1.03047,1.18359,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,493.672,0.9049,0.96679,1.11516,0.7272,0.8,0.79466,0.51947,1.09782,1.03047,1.18359,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,498.645,0.91903,0.98426,1.11151,0.73198,0.76571,0.79056,0.51998,1.09722,1.03604,1.18163,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,503.396,0.8871,0.95284,1.10857,0.72038,0.79498,0.78965,0.52071,1.09567,1.03934,1.17929,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,508.134,0.9341,0.94084,1.13138,0.71551,0.8,0.78604,0.52109,1.09302,1.04469,1.17608,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
